model,horizon,mse
GRU,1,0.0007082739030010998
GRU,2,0.0003775300574488938
GRU,5,0.0007807630463503301
GRU,10,0.0008088906179182231
GRU,15,0.0017489261226728559
GRU,20,0.002072967356070876
GRU,30,0.004139109514653683
GRU,40,0.007348615676164627
LSTM,1,0.001113068195991218
LSTM,2,0.0006224337848834693
LSTM,5,0.001330676255747676
LSTM,10,0.0009233100572600961
LSTM,15,0.0022496504243463278
LSTM,20,0.002217271365225315
LSTM,30,0.004164142534136772
LSTM,40,0.008179623633623123
MLP,1,0.00033363953116349876
MLP,2,0.0001817888260120526
MLP,5,0.00036259889020584524
MLP,10,0.00023338402388617396
MLP,15,0.0004546140553429723
MLP,20,0.00037286418955773115
MLP,30,0.0004844382929150015
MLP,40,0.0006698357756249607
CNN,1,0.015689793974161148
CNN,2,0.01786111854016781
CNN,5,0.016531415283679962
CNN,10,0.021510085090994835
CNN,15,0.021365046501159668
CNN,20,0.025892866775393486
CNN,30,0.03191603720188141
CNN,40,0.03975493833422661
Transformer,1,0.3151476979255676
Transformer,2,0.3098817467689514
Transformer,5,0.31595805287361145
Transformer,10,0.31451791524887085
Transformer,15,0.3214555084705353
Transformer,20,0.3162176311016083
Transformer,30,0.32096150517463684
Transformer,40,0.3276706635951996
Kalman,1,0.426308019365539
Kalman,2,0.35021730185795225
Kalman,5,0.4286535664463847
Kalman,10,0.3558739361240904
Kalman,15,0.4373345698278928
Kalman,20,0.3666765168277637
Kalman,30,0.38158598321628007
Kalman,40,0.4005433186488244
