model,horizon,mse
GRU,1,0.00378816737793386
GRU,2,0.0031636434141546488
GRU,5,0.0036792971659451723
GRU,10,0.0034975812304764986
GRU,15,0.005064265336841345
GRU,20,0.005162378773093224
GRU,30,0.008090388961136341
GRU,40,0.010933890007436275
LSTM,1,0.005002870690077543
LSTM,2,0.004337532911449671
LSTM,5,0.005623545031994581
LSTM,10,0.0050270515494048595
LSTM,15,0.006885782815515995
LSTM,20,0.007197916507720947
LSTM,30,0.009633220732212067
LSTM,40,0.01391633227467537
MLP,1,0.0021989624947309494
MLP,2,0.001955658895894885
MLP,5,0.002303743502125144
MLP,10,0.002384359482675791
MLP,15,0.003133913269266486
MLP,20,0.003384610638022423
MLP,30,0.00441356748342514
MLP,40,0.005826168227940798
CNN,1,0.09193829447031021
CNN,2,0.09751167893409729
CNN,5,0.09550515562295914
CNN,10,0.10206567496061325
CNN,15,0.0977449119091034
CNN,20,0.10420341044664383
CNN,30,0.1086188480257988
CNN,40,0.11615749448537827
Transformer,1,0.30982786417007446
Transformer,2,0.30876272916793823
Transformer,5,0.31371045112609863
Transformer,10,0.3107854723930359
Transformer,15,0.3163342773914337
Transformer,20,0.31427353620529175
Transformer,30,0.3155854046344757
Transformer,40,0.32032737135887146
Kalman,1,0.42703479025557445
Kalman,2,0.3508794599004668
Kalman,5,0.4294062852398504
Kalman,10,0.356588565969566
Kalman,15,0.4381577473934762
Kalman,20,0.36746335460014234
Kalman,30,0.38245216602914694
Kalman,40,0.40149595217831663
